%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0, -1.21, -0.61, -2.42, 1.33, -2.05, 1.21, -2.64, 0.73, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178665, 0, 04:36:18.665
1, -1.72, -0.17, -1.91, 0.38, -1.83, 0.68, -2.62, 1.26, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178669, 0, 04:36:18.669
2, -2.08, 0.09, -1.20, -0.50, -1.43, 0.32, -2.37, 1.50, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178673, 0, 04:36:18.673
3, -2.22, -0.03, -0.32, -1.43, -0.69, 0.20, -1.70, 1.49, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178677, 0, 04:36:18.677
4, -1.99, -0.23, 0.66, -1.99, -0.33, 0.38, -0.65, 1.29, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178681, 0, 04:36:18.681
5, -1.39, -0.51, 1.25, -2.23, 0.07, 0.72, 0.32, 0.67, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178685, 0, 04:36:18.685
6, -0.41, -0.83, 1.81, -2.12, 0.26, 0.98, 1.41, -0.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178689, 0, 04:36:18.689
7, 0.51, -0.92, 1.98, -1.53, 0.12, 1.30, 1.99, -1.05, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178693, 0, 04:36:18.693
8, 1.52, -0.85, 1.77, -0.87, -0.20, 1.28, 2.38, -1.78, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178697, 0, 04:36:18.697
9, 2.32, -0.31, 1.32, -0.12, -0.55, 1.08, 2.45, -2.13, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178701, 0, 04:36:18.701
10, 2.85, 0.46, 0.83, 0.52, -0.94, 0.62, 2.03, -2.23, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178705, 0, 04:36:18.705
11, 2.92, 1.30, 0.44, 1.00, -0.81, -0.25, 1.48, -1.94, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178709, 0, 04:36:18.709
12, 2.52, 2.14, 0.29, 0.99, -0.66, -0.99, 0.80, -1.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178713, 0, 04:36:18.713
13, 1.85, 2.79, 0.40, 1.01, -0.09, -1.60, 0.25, -0.45, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178717, 0, 04:36:18.717
14, 1.08, 3.07, 0.62, 0.61, 0.45, -2.12, -0.10, 0.54, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178721, 0, 04:36:18.721
15, 0.42, 3.00, 1.07, 0.31, 1.30, -2.26, -0.14, 1.36, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178725, 0, 04:36:18.725
16, -0.13, 2.55, 1.48, 0.14, 1.87, -1.89, 0.05, 1.85, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154178729, 0, 04:36:18.729
