%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0, -1.21, -0.61, -2.42, 1.33, -2.05, 1.21, -2.64, 0.73, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947749, 0, 04:32:27.749
1, -1.72, -0.17, -1.91, 0.38, -1.83, 0.68, -2.62, 1.26, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947753, 0, 04:32:27.753
2, -2.08, 0.09, -1.20, -0.50, -1.43, 0.32, -2.37, 1.50, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947757, 0, 04:32:27.757
3, -2.22, -0.03, -0.32, -1.43, -0.69, 0.20, -1.70, 1.49, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947761, 0, 04:32:27.761
4, -1.99, -0.23, 0.66, -1.99, -0.33, 0.38, -0.65, 1.29, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947765, 0, 04:32:27.765
5, -1.39, -0.51, 1.25, -2.23, 0.07, 0.72, 0.32, 0.67, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947769, 0, 04:32:27.769
6, -0.41, -0.83, 1.81, -2.12, 0.26, 0.98, 1.41, -0.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947773, 0, 04:32:27.773
7, 0.51, -0.92, 1.98, -1.53, 0.12, 1.30, 1.99, -1.05, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947777, 0, 04:32:27.777
8, 1.52, -0.85, 1.77, -0.87, -0.20, 1.28, 2.38, -1.78, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947781, 0, 04:32:27.781
9, 2.32, -0.31, 1.32, -0.12, -0.55, 1.08, 2.45, -2.13, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947785, 0, 04:32:27.785
10, 2.85, 0.46, 0.83, 0.52, -0.94, 0.62, 2.03, -2.23, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947789, 0, 04:32:27.789
11, 2.92, 1.30, 0.44, 1.00, -0.81, -0.25, 1.48, -1.94, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947793, 0, 04:32:27.793
12, 2.52, 2.14, 0.29, 0.99, -0.66, -0.99, 0.80, -1.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947797, 0, 04:32:27.797
13, 1.85, 2.79, 0.40, 1.01, -0.09, -1.60, 0.25, -0.45, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947801, 0, 04:32:27.801
14, 1.08, 3.07, 0.62, 0.61, 0.45, -2.12, -0.10, 0.54, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774153947805, 0, 04:32:27.805
