%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0, -22351.83, -11372.95, -44787.90, 24615.63, -37978.93, 22378.11, -48978.51, 13467.83, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354103, 0, 04:39:14.103
1, -31960.16, -3133.80, -35481.85, 6958.55, -33976.46, 12658.36, -48480.53, 23429.62, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354107, 0, 04:39:14.107
2, -38529.06, 1727.63, -22180.63, -9250.65, -26427.88, 6013.38, -44000.93, 27787.89, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354111, 0, 04:39:14.111
3, -41070.34, -469.72, -5919.75, -26449.61, -12772.94, 3774.67, -31439.05, 27598.47, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354115, 0, 04:39:14.115
4, -36811.78, -4253.22, 12235.43, -36932.79, -6208.41, 7032.71, -11960.47, 23887.01, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354119, 0, 04:39:14.119
5, -25744.85, -9482.03, 23177.76, -41411.67, 1285.20, 13365.53, 5960.63, 12335.60, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354123, 0, 04:39:14.123
6, -7690.33, -15372.59, 33617.68, -39361.31, 4780.91, 18127.49, 26132.58, -4097.31, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354127, 0, 04:39:14.127
7, 9468.34, -17081.50, 36637.88, -28293.00, 2242.39, 24011.87, 36870.37, -19488.91, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354131, 0, 04:39:14.131
8, 28255.43, -15810.45, 32742.56, -16070.33, -3673.49, 23636.74, 44129.90, -32953.17, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354135, 0, 04:39:14.135
9, 42996.02, -5767.58, 24384.22, -2140.13, -10122.42, 20070.58, 45403.63, -39394.76, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354139, 0, 04:39:14.139
10, 52815.08, 8446.82, 15319.70, 9692.09, -17428.92, 11486.40, 37683.72, -41414.70, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354143, 0, 04:39:14.143
11, 54164.44, 24178.20, 8237.59, 18521.14, -15070.58, -4665.51, 27353.22, -36040.17, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354147, 0, 04:39:14.147
12, 46697.33, 39730.50, 5406.57, 18372.27, -12294.04, -18263.20, 14904.55, -22654.40, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354151, 0, 04:39:14.151
13, 34288.32, 51710.41, 7473.30, 18657.91, -1608.54, -29656.31, 4587.16, -8373.86, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354155, 0, 04:39:14.155
14, 20015.87, 56911.17, 11415.25, 11252.14, 8368.45, -39235.35, -1823.46, 9980.52, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354159, 0, 04:39:14.159
15, 7694.01, 55673.15, 19850.82, 5669.05, 24035.27, -41813.10, -2664.53, 25225.60, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354163, 0, 04:39:14.163
16, -2455.50, 47335.89, 27408.74, 2675.04, 34638.46, -35101.03, 1003.43, 34296.89, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354167, 0, 04:39:14.167
17, -7837.77, 30735.24, 28418.69, 3242.65, 41841.48, -24552.84, 7898.54, 36695.44, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354171, 0, 04:39:14.171
18, -8882.68, 11686.12, 24807.17, 5889.83, 40911.31, -8223.38, 12586.87, 34272.65, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354175, 0, 04:39:14.175
